id,left,top,right,bottom,row_index,col_index,2018_sum,2019_sum,2020_sum,2021_sum,2022_sum,2023_sum
1,111.95,-9.95,112.45,-10.45,0,0,,,,,,
2,111.95,-10.45,112.45,-10.95,1,0,,,,,,
3,111.95,-10.95,112.45,-11.45,2,0,,,,,,
4,111.95,-11.45,112.45,-11.95,3,0,,,,,,
5,111.95,-11.95,112.45,-12.45,4,0,,,,,,
6,111.95,-12.45,112.45,-12.95,5,0,,,,,,
7,111.95,-12.95,112.45,-13.45,6,0,,,,,,
8,111.95,-13.45,112.45,-13.95,7,0,,,,,,
9,111.95,-13.95,112.45,-14.45,8,0,,,,,,
10,111.95,-14.45,112.45,-14.95,9,0,,,,,,
11,111.95,-14.95,112.45,-15.45,10,0,,,,,,
12,111.95,-15.45,112.45,-15.95,11,0,,,,,,
13,111.95,-15.95,112.45,-16.45,12,0,,,,,,
14,111.95,-16.45,112.45,-16.95,13,0,,,,,,
15,111.95,-16.95,112.45,-17.45,14,0,,,,,,
16,111.95,-17.45,112.45,-17.95,15,0,,,,,,
17,111.95,-17.95,112.45,-18.45,16,0,,,,,,
18,111.95,-18.45,112.45,-18.95,17,0,,,,,,
19,111.95,-18.95,112.45,-19.45,18,0,,,,,,
20,111.95,-19.45,112.45,-19.95,19,0,,,,,,
21,111.95,-19.95,112.45,-20.45,20,0,,,,,,
22,111.95,-20.45,112.45,-20.95,21,0,,,,,,
23,111.95,-20.95,112.45,-21.45,22,0,,,,,,
24,111.95,-21.45,112.45,-21.95,23,0,,,,,,
25,111.95,-21.95,112.45,-22.45,24,0,,,,,,
26,111.95,-22.45,112.45,-22.95,25,0,,,,,,
27,111.95,-22.95,112.45,-23.45,26,0,,,,,,
28,111.95,-23.45,112.45,-23.95,27,0,,,,,,
29,111.95,-23.95,112.45,-24.45,28,0,,,,,,
30,111.95,-24.45,112.45,-24.95,29,0,,,,,,
31,111.95,-24.95,112.45,-25.45,30,0,,,,,,
32,111.95,-25.45,112.45,-25.95,31,0,,,,,,
33,111.95,-25.95,112.45,-26.45,32,0,,,,,,
34,111.95,-26.45,112.45,-26.95,33,0,,,,,,
35,111.95,-26.95,112.45,-27.45,34,0,,,,,,
36,111.95,-27.45,112.45,-27.95,35,0,,,,,,
37,111.95,-27.95,112.45,-28.45,36,0,0,0,0,0,0,0
38,111.95,-28.45,112.45,-28.95,37,0,0,0,0,0,0,0
39,111.95,-28.95,112.45,-29.45,38,0,0,0,0,0,0,0
40,111.95,-29.45,112.45,-29.95,39,0,0,0,0,0,0,0
41,111.95,-29.95,112.45,-30.45,40,0,0,0,0,0,0,0
42,111.95,-30.45,112.45,-30.95,41,0,0,0,0,0,0,0
43,111.95,-30.95,112.45,-31.45,42,0,0,0,0,0,0,0
44,111.95,-31.45,112.45,-31.95,43,0,0,0,0,0,0,0
45,111.95,-31.95,112.45,-32.45,44,0,0,0,0,0,0,0
46,111.95,-32.45,112.45,-32.95,45,0,0,0,0,0,0,0
47,111.95,-32.95,112.45,-33.45,46,0,0,0,0,0,0,0
48,111.95,-33.45,112.45,-33.95,47,0,0,0,0,0,0,0
49,111.95,-33.95,112.45,-34.45,48,0,0,0,0,0,0,0
50,111.95,-34.45,112.45,-34.95,49,0,0,0,0,0,0,0
51,111.95,-34.95,112.45,-35.45,50,0,0,0,0,0,0,0
52,111.95,-35.45,112.45,-35.95,51,0,0,0,0,0,0,0
53,111.95,-35.95,112.45,-36.45,52,0,0,0,0,0,0,0
54,111.95,-36.45,112.45,-36.95,53,0,0,0,0,0,0,0
55,111.95,-36.95,112.45,-37.45,54,0,0,0,0,0,0,0
56,111.95,-37.45,112.45,-37.95,55,0,0,0,0,0,0,0
57,111.95,-37.95,112.45,-38.45,56,0,0,0,0,0,0,0
58,111.95,-38.45,112.45,-38.95,57,0,0,0,0,0,0,0
59,111.95,-38.95,112.45,-39.45,58,0,0,0,0,0,0,0
60,111.95,-39.45,112.45,-39.95,59,0,0,0,0,0,0,0
61,111.95,-39.95,112.45,-40.45,60,0,0,0,0,0,0,0
62,111.95,-40.45,112.45,-40.95,61,0,0,0,0,0,0,0
63,111.95,-40.95,112.45,-41.45,62,0,0,0,0,0,0,0
64,111.95,-41.45,112.45,-41.95,63,0,0,0,0,0,0,0
65,111.95,-41.95,112.45,-42.45,64,0,0,0,0,0,0,0
66,111.95,-42.45,112.45,-42.95,65,0,0,0,0,0,0,0
67,111.95,-42.95,112.45,-43.45,66,0,0,0,0,0,0,0
68,111.95,-43.45,112.45,-43.95,67,0,,,,,,
69,111.95,-43.95,112.45,-44.45,68,0,,,,,,
70,112.45,-9.95,112.95,-10.45,0,1,,,,,,
71,112.45,-10.45,112.95,-10.95,1,1,,,,,,
72,112.45,-10.95,112.95,-11.45,2,1,,,,,,
73,112.45,-11.45,112.95,-11.95,3,1,,,,,,
74,112.45,-11.95,112.95,-12.45,4,1,,,,,,
75,112.45,-12.45,112.95,-12.95,5,1,,,,,,
76,112.45,-12.95,112.95,-13.45,6,1,,,,,,
77,112.45,-13.45,112.95,-13.95,7,1,,,,,,
78,112.45,-13.95,112.95,-14.45,8,1,,,,,,
79,112.45,-14.45,112.95,-14.95,9,1,,,,,,
80,112.45,-14.95,112.95,-15.45,10,1,,,,,,
81,112.45,-15.45,112.95,-15.95,11,1,,,,,,
82,112.45,-15.95,112.95,-16.45,12,1,,,,,,
83,112.45,-16.45,112.95,-16.95,13,1,,,,,,
84,112.45,-16.95,112.95,-17.45,14,1,,,,,,
85,112.45,-17.45,112.95,-17.95,15,1,,,,,,
86,112.45,-17.95,112.95,-18.45,16,1,,,,,,
87,112.45,-18.45,112.95,-18.95,17,1,,,,,,
88,112.45,-18.95,112.95,-19.45,18,1,,,,,,
89,112.45,-19.45,112.95,-19.95,19,1,,,,,,
90,112.45,-19.95,112.95,-20.45,20,1,,,,,,
91,112.45,-20.45,112.95,-20.95,21,1,,,,,,
92,112.45,-20.95,112.95,-21.45,22,1,,,,,,
93,112.45,-21.45,112.95,-21.95,23,1,,,,,,
94,112.45,-21.95,112.95,-22.45,24,1,,,,,,
95,112.45,-22.45,112.95,-22.95,25,1,,,,,,
96,112.45,-22.95,112.95,-23.45,26,1,,,,,,
97,112.45,-23.45,112.95,-23.95,27,1,,,,,,
98,112.45,-23.95,112.95,-24.45,28,1,,,,,,
99,112.45,-24.45,112.95,-24.95,29,1,,,,,,
100,112.45,-24.95,112.95,-25.45,30,1,0,0,0,0,0,0
101,112.45,-25.45,112.95,-25.95,31,1,6,6,6,6,6,6
102,112.45,-25.95,112.95,-26.45,32,1,0,0,0,0,0,0
103,112.45,-26.45,112.95,-26.95,33,1,0,0,0,0,0,0
104,112.45,-26.95,112.95,-27.45,34,1,0,0,0,0,0,0
105,112.45,-27.45,112.95,-27.95,35,1,0,0,0,0,0,0
106,112.45,-27.95,112.95,-28.45,36,1,0,0,0,0,0,0
107,112.45,-28.45,112.95,-28.95,37,1,0,0,0,0,0,0
108,112.45,-28.95,112.95,-29.45,38,1,0,0,0,0,0,0
109,112.45,-29.45,112.95,-29.95,39,1,0,0,0,0,0,0
110,112.45,-29.95,112.95,-30.45,40,1,0,0,0,0,0,0
111,112.45,-30.45,112.95,-30.95,41,1,0,0,0,0,0,0
112,112.45,-30.95,112.95,-31.45,42,1,0,0,0,0,0,0
113,112.45,-31.45,112.95,-31.95,43,1,0,0,0,0,0,0
114,112.45,-31.95,112.95,-32.45,44,1,0,0,0,0,0,0
115,112.45,-32.45,112.95,-32.95,45,1,0,0,0,0,0,0
116,112.45,-32.95,112.95,-33.45,46,1,0,0,0,0,0,0
117,112.45,-33.45,112.95,-33.95,47,1,0,0,0,0,0,0
118,112.45,-33.95,112.95,-34.45,48,1,0,0,0,0,0,0
119,112.45,-34.45,112.95,-34.95,49,1,0,0,0,0,0,0
120,112.45,-34.95,112.95,-35.45,50,1,0,0,0,0,0,0
121,112.45,-35.45,112.95,-35.95,51,1,0,0,0,0,0,0
122,112.45,-35.95,112.95,-36.45,52,1,0,0,0,0,0,0
123,112.45,-36.45,112.95,-36.95,53,1,0,0,0,0,0,0
124,112.45,-36.95,112.95,-37.45,54,1,0,0,0,0,0,0
125,112.45,-37.45,112.95,-37.95,55,1,0,0,0,0,0,0
126,112.45,-37.95,112.95,-38.45,56,1,0,0,0,0,0,0
127,112.45,-38.45,112.95,-38.95,57,1,0,0,0,0,0,0
128,112.45,-38.95,112.95,-39.45,58,1,0,0,0,0,0,0
129,112.45,-39.45,112.95,-39.95,59,1,0,0,0,0,0,0
130,112.45,-39.95,112.95,-40.45,60,1,0,0,0,0,0,0
131,112.45,-40.45,112.95,-40.95,61,1,0,0,0,0,0,0
132,112.45,-40.95,112.95,-41.45,62,1,0,0,0,0,0,0
133,112.45,-41.45,112.95,-41.95,63,1,0,0,0,0,0,0
134,112.45,-41.95,112.95,-42.45,64,1,0,0,0,0,0,0
135,112.45,-42.45,112.95,-42.95,65,1,0,0,0,0,0,0
136,112.45,-42.95,112.95,-43.45,66,1,0,0,0,0,0,0
137,112.45,-43.45,112.95,-43.95,67,1,,,,,,
138,112.45,-43.95,112.95,-44.45,68,1,,,,,,
139,112.95,-9.95,113.45,-10.45,0,2,,,,,,
