Value,Count,TERTV8,SECV8N,SECV8,PRIMV8N,PRIMV8,SIMPN,SIMP,AGIND
0,168822267,No data/offshore,0,No data/offshore,0,No data/offshore,0,No data/offshore,No data/offshore
111,2471378,1.1.1 Strict nature reserves,11,1.1 Nature conservation,1,1 Conservation and natural environments,1,Nature conservation,Not agricultural industry
112,616492,1.1.2 Wilderness area,11,1.1 Nature conservation,1,1 Conservation and natural environments,1,Nature conservation,Not agricultural industry
113,6165243,1.1.3 National park,11,1.1 Nature conservation,1,1 Conservation and natural environments,1,Nature conservation,Not agricultural industry
114,293205,1.1.4 Natural feature protection,11,1.1 Nature conservation,1,1 Conservation and natural environments,1,Nature conservation,Not agricultural industry
115,417820,1.1.5 Habitat/species management area,11,1.1 Nature conservation,1,1 Conservation and natural environments,1,Nature conservation,Not agricultural industry
116,1216024,1.1.6 Protected landscape,11,1.1 Nature conservation,1,1 Conservation and natural environments,1,Nature conservation,Not agricultural industry
117,366085,1.1.7 Other conserved area,11,1.1 Nature conservation,1,1 Conservation and natural environments,1,Nature conservation,Not agricultural industry
120,6648114,1.2.0 Managed resource protection,12,1.2 Managed resource protection,1,1 Conservation and natural environments,2,Managed resource protection,Not agricultural industry
125,17539682,1.2.5 Traditional indigenous uses,12,1.2 Managed resource protection,1,1 Conservation and natural environments,2,Managed resource protection,Not agricultural industry
130,11334404,1.3.0 Other minimal use,13,1.3 Other minimal use,1,1 Conservation and natural environments,3,Other minimal use,Not agricultural industry
131,437804,1.3.1 Defence land - natural areas,13,1.3 Other minimal use,1,1 Conservation and natural environments,3,Other minimal use,Not agricultural industry
132,96435,1.3.2 Stock route,13,1.3 Other minimal use,1,1 Conservation and natural environments,3,Other minimal use,Not agricultural industry
133,1409471,1.3.3 Residual native cover,13,1.3 Other minimal use,1,1 Conservation and natural environments,3,Other minimal use,Not agricultural industry
134,46,1.3.4 Rehabilitation,13,1.3 Other minimal use,1,1 Conservation and natural environments,3,Other minimal use,Not agricultural industry
210,53341743,2.1.0 Grazing native vegetation,21,2.1 Grazing native vegetation,2,2 Production from relatively natural environments,4,Grazing native vegetation,Grazing native vegetation
220,1377210,2.2.0 Production native forests,22,2.2 Production native forests,2,2 Production from relatively natural environments,5,Production native forests,Not agricultural industry
310,6288,3.1.0 Plantation forests,31,3.1 Plantation forests,3,3 Production from dryland agriculture and plantations,6,Plantation forests,Not agricultural industry
311,156765,3.1.1 Hardwood plantation forestry,31,3.1 Plantation forests,3,3 Production from dryland agriculture and plantations,6,Plantation forests,Not agricultural industry
312,202459,3.1.2 Softwood plantation forestry,31,3.1 Plantation forests,3,3 Production from dryland agriculture and plantations,6,Plantation forests,Not agricultural industry
313,3882,3.1.3 Other forest plantation,31,3.1 Plantation forests,3,3 Production from dryland agriculture and plantations,6,Plantation forests,Not agricultural industry
314,2863,3.1.4 Environmental forest plantation,31,3.1 Plantation forests,3,3 Production from dryland agriculture and plantations,6,Plantation forests,Not agricultural industry
320,7632713,3.2.0 Grazing modified pastures,32,3.2 Grazing modified pastures,3,3 Production from dryland agriculture and plantations,7,Grazing modified pastures,Grazing modified pastures
330,21271,3.3.0 Cropping,33,3.3 Cropping,3,3 Production from dryland agriculture and plantations,8,Dryland cropping,Cropping
331,4234089,3.3.1 Cereals,33,3.3 Cropping,3,3 Production from dryland agriculture and plantations,8,Dryland cropping,Cropping
333,320904,3.3.3 Hay and silage,33,3.3 Cropping,3,3 Production from dryland agriculture and plantations,8,Dryland cropping,Cropping
334,558178,3.3.4 Oilseeds,33,3.3 Cropping,3,3 Production from dryland agriculture and plantations,8,Dryland cropping,Cropping
335,47634,3.3.5 Sugar,33,3.3 Cropping,3,3 Production from dryland agriculture and plantations,8,Dryland cropping,Cropping
336,30384,3.3.6 Cotton,33,3.3 Cropping,3,3 Production from dryland agriculture and plantations,8,Dryland cropping,Cropping
338,528679,3.3.8 Pulses,33,3.3 Cropping,3,3 Production from dryland agriculture and plantations,8,Dryland cropping,Cropping
340,609,3.4.0 Perennial horticulture,34,3.4 Perennial horticulture,3,3 Production from dryland agriculture and plantations,9,Dryland horticulture,Horticulture
341,4633,3.4.1 Tree fruits,34,3.4 Perennial horticulture,3,3 Production from dryland agriculture and plantations,9,Dryland horticulture,Horticulture
343,2534,3.4.3 Tree nuts,34,3.4 Perennial horticulture,3,3 Production from dryland agriculture and plantations,9,Dryland horticulture,Horticulture
345,248,3.4.5 Shrub berries and fruits,34,3.4 Perennial horticulture,3,3 Production from dryland agriculture and plantations,9,Dryland horticulture,Horticulture
348,808,3.4.8 Citrus,34,3.4 Perennial horticulture,3,3 Production from dryland agriculture and plantations,9,Dryland horticulture,Horticulture
349,5516,3.4.9 Grapes,34,3.4 Perennial horticulture,3,3 Production from dryland agriculture and plantations,9,Dryland horticulture,Horticulture
353,4850,3.5.4 Seasonal vegetables and herbs,35,3.5 Seasonal horticulture,3,3 Production from dryland agriculture and plantations,9,Dryland horticulture,Horticulture
410,191,4.1.0 Irrigated plantation forests,41,4.1 Irrigated plantation forests,4,4 Production from irrigated agriculture and plantations,6,Plantation forests,Not agricultural industry
411,1114,4.1.1 Irrigated hardwood plantation forestry,41,4.1 Irrigated plantation forests,4,4 Production from irrigated agriculture and plantations,6,Plantation forests,Not agricultural industry
412,3,4.1.2 Irrigated softwood plantation forestry,41,4.1 Irrigated plantation forests,4,4 Production from irrigated agriculture and plantations,6,Plantation forests,Not agricultural industry
413,1199,4.1.3 Irrigated other forest production,41,4.1 Irrigated plantation forests,4,4 Production from irrigated agriculture and plantations,6,Plantation forests,Not agricultural industry
414,24,4.1.4 Irrigated environmental forest plantation,41,4.1 Irrigated plantation forests,4,4 Production from irrigated agriculture and plantations,6,Plantation forests,Not agricultural industry
420,104123,4.2.0 Grazing irrigated modified pastures,42,4.2 Grazing irrigated modified pastures,4,4 Production from irrigated agriculture and plantations,11,Irrigated pastures,Grazing modified pastures
430,19200,4.3.0 Irrigated cropping,43,4.3 Irrigated cropping,4,4 Production from irrigated agriculture and plantations,12,Irrigated cropping,Cropping
431,72050,4.3.1 Irrigated cereals,43,4.3 Irrigated cropping,4,4 Production from irrigated agriculture and plantations,12,Irrigated cropping,Cropping
433,44152,4.3.3 Irrigated hay and silage,43,4.3 Irrigated cropping,4,4 Production from irrigated agriculture and plantations,12,Irrigated cropping,Cropping
434,10631,4.3.4 Irrigated oilseeds,43,4.3 Irrigated cropping,4,4 Production from irrigated agriculture and plantations,12,Irrigated cropping,Cropping
435,23813,4.3.5 Irrigated sugar,43,4.3 Irrigated cropping,4,4 Production from irrigated agriculture and plantations,12,Irrigated cropping,Cropping
436,45034,4.3.6 Irrigated cotton,43,4.3 Irrigated cropping,4,4 Production from irrigated agriculture and plantations,12,Irrigated cropping,Cropping
438,5850,4.3.8 Irrigated pulses,43,4.3 Irrigated cropping,4,4 Production from irrigated agriculture and plantations,12,Irrigated cropping,Cropping
439,10874,4.3.9 Irrigated rice,43,4.3 Irrigated cropping,4,4 Production from irrigated agriculture and plantations,12,Irrigated cropping,Cropping
440,1216,4.4.0 Irrigated perennial horticulture,44,4.4 Irrigated perennial horticulture,4,4 Production from irrigated agriculture and plantations,13,Irrigated horticulture,Horticulture
441,21940,4.4.1 Irrigated tree fruits,44,4.4 Irrigated perennial horticulture,4,4 Production from irrigated agriculture and plantations,13,Irrigated horticulture,Horticulture
442,4093,4.4.2 Irrigated olives,44,4.4 Irrigated perennial horticulture,4,4 Production from irrigated agriculture and plantations,13,Irrigated horticulture,Horticulture
443,18974,4.4.3 Irrigated tree nuts,44,4.4 Irrigated perennial horticulture,4,4 Production from irrigated agriculture and plantations,13,Irrigated horticulture,Horticulture
445,807,4.4.5 Irrigated shrub berries and fruits,44,4.4 Irrigated perennial horticulture,4,4 Production from irrigated agriculture and plantations,13,Irrigated horticulture,Horticulture
448,9321,4.4.8 Irrigated citrus,44,4.4 Irrigated perennial horticulture,4,4 Production from irrigated agriculture and plantations,13,Irrigated horticulture,Horticulture
449,34172,4.4.9 Irrigated grapes,44,4.4 Irrigated perennial horticulture,4,4 Production from irrigated agriculture and plantations,13,Irrigated horticulture,Horticulture
453,24897,4.5.3 Irrigated seasonal vegetables and herbs,45,4.5 Irrigated seasonal horticulture,4,4 Production from irrigated agriculture and plantations,13,Irrigated horticulture,Horticulture
510,302,5.1.0 Intensive horticulture,51,5.1 Intensive horticulture,5,5 Intensive uses,14,Intensive horticulture and animal production,Intensive plant and animal industries
511,456,5.1.1 Production nurseries,51,5.1 Intensive horticulture,5,5 Intensive uses,14,Intensive horticulture and animal production,Intensive plant and animal industries
512,121,5.1.2 Shadehouses,51,5.1 Intensive horticulture,5,5 Intensive uses,14,Intensive horticulture and animal production,Intensive plant and animal industries
