Site,Dist,Site name,Start,End,Lat,Lon,Source,STA,Height (m),Bar_ht,WMO
001000,01,KARUNJIE,1940,1983,-16.2919,127.1956,.....,WA,320,..,..
001001,01,OOMBULGURRI,1914,2012,-15.1806,127.8456,GPS,WA,2,..,..
001002,01,BEVERLEY SP,1959,1967,-16.5825,125.4828,.....,WA,..,..,..
001003,01,PAGO MISSION,1908,1940,-14.1331,126.7158,.....,WA,5,24.4,..
001004,01,KUNMUNYA,1915,1948,-15.4167,124.7167,.....,WA,47,..,..
001005,01,WYNDHAM PORT,1886,1995,-15.4644,128.1,.....,WA,20,..,..
001006,01,WYNDHAM AERO,1951,..,-15.51,128.1503,GPS,WA,3.8,4.3,95214
001007,01,TROUGHTON ISLAND,1956,..,-13.7542,126.1485,GPS,WA,6,8,94102
001008,01,MOUNT ELIZABETH OLD SITE,1959,1978,-16.3017,126.1825,.....,WA,640,..,..
001009,01,KURI BAY,1961,2012,-15.4875,124.5222,GPS,WA,12,17,..
001010,01,THEDA,1965,..,-14.7885,126.4963,GPS,WA,210,..,..
001011,01,PANTA DOWNS,1966,1969,-16.0497,124.95,.....,WA,..,..,..
001012,01,MITCHELL PLATEAU,1968,2002,-14.7925,125.8258,GPS,WA,315,269,..
001013,01,WYNDHAM,1968,..,-15.4869,128.1236,GPS,WA,11,..,..
001014,01,EMMA GORGE,1998,..,-15.9083,128.1286,.....,WA,130,..,..
001015,01,KING RIVER PUMPING STN,1923,1931,-15.6,128.0833,.....,WA,..,..,..
001016,01,CARSON RIVER STATION,1970,1997,-14.4861,126.7664,.....,WA,59,..,..
001017,01,NULLA NULLA,1923,1926,-15.5,127.8333,.....,WA,..,..,..
001018,01,MOUNT ELIZABETH,1973,..,-16.4181,126.1025,GPS,WA,546,547,94211
001019,01,KALUMBURU,1997,..,-14.2964,126.6453,GPS,WA,23,24,94100
001020,01,TRUSCOTT,1944,..,-14.09,126.3867,GPS,WA,51,52.5,95101
001021,01,KALUMBURU MISSION,1941,2005,-14.2961,126.6431,GPS,WA,23,24,94101
001022,01,WYNDHAM SIX MILE HOTEL,1900,1917,-15.4997,128.1997,.....,WA,..,..,..
001023,01,EL QUESTRO,1967,..,-16.0086,127.9806,GPS,WA,90,..,..
001024,01,ELLENBRAE,1986,..,-15.9572,127.0628,GPS,WA,300,..,..
001025,01,DOONGAN,1988,..,-15.3797,126.3114,GPS,WA,385,386,94215
001026,01,DRYSDALE RIVER STATION,1988,..,-15.7031,126.3781,GPS,WA,370,..,..
001027,01,DIGGERS REST,1971,..,-15.6394,128.0803,GPS,WA,14,..,..
001028,01,HOME VALLEY,1991,..,-15.7231,127.8292,GPS,WA,10,..,..
001029,01,WYNDHAM NORTH,1989,1996,-15.4467,128.1075,.....,WA,15,..,..
001030,01,KIMBERLEY COASTAL CAMP,1995,..,-14.5786,125.9133,GPS,WA,3,..,..
001031,01,FARAWAY BAY,1996,..,-13.96,127.1964,GPS,WA,60,..,..
001032,01,MCGOWAN ISLAND,1997,2000,-14.1472,126.6483,GPS,WA,6,..,..
001033,01,DRYSDALE RIVER AIRSTRIP,1999,2003,-15.7119,126.3817,GPS,WA,380,..,..
001034,01,WEST BASTION,2001,..,-15.4533,128.1239,.....,WA,333,..,..
001035,01,PARRY CREEK FARM,2002,..,-15.5972,128.2783,GPS,WA,20,..,..
001036,01,DOONGAN ASA,2012,..,-15.3792,126.3108,GPS,WA,383.5,384.9,99215
002000,02,ALICE DOWNS,1904,2004,-17.7569,127.9386,GPS,WA,363,..,..
002001,02,ARGYLE DOWNS,1890,..,-16.5039,128.9173,GPS,WA,120,..,..
002002,02,BOHEMIA DOWNS,1906,1959,-18.8833,126.2333,.....,WA,..,..,..
002003,02,BOW RIVER,1945,1995,-16.87,128.1836,.....,WA,194,..,..
002004,02,GLEN HILL,1962,1964,-16.5833,128.3667,.....,WA,..,..,..
002005,02,CARLTON HILL,1897,..,-15.4864,128.5344,GPS,WA,20,..,..
002006,02,ASCOT,1910,1921,-15.5,128.25,.....,WA,..,..,..
002007,02,DUNHAM RIVER STATION,1920,1973,-16.3167,128.25,.....,WA,..,..,..
002008,02,FLORA VALLEY OLD,1898,1975,-18.3167,128,.....,WA,..,..,..
002009,02,GIBB RIVER,1922,..,-16.4202,126.4412,GPS,WA,488,..,..
002010,02,GORDON DOWNS,1919,1997,-18.7506,128.5842,.....,WA,354,..,..
002011,02,OLD HALLS CREEK,1890,1999,-18.2519,127.7817,.....,WA,360,..,..
002012,02,HALLS CREEK METEOROLOGICAL OFFICE,1944,..,-18.2291,127.6636,GPS,WA,422,423.9,99201
002013,02,IVANHOE STATION,1907,..,-15.69,128.6833,GPS,WA,40,..,..
002014,02,KIMBERLEY RES.STATION,1944,..,-15.6545,128.7091,GPS,WA,31,..,..
002015,02,LAMBOO,1920,2007,-18.4086,127.3547,GPS,WA,400,..,..
002016,02,LISSADELL,1895,..,-16.6742,128.5533,GPS,WA,120,..,..
002017,02,LOUISA DOWNS,1915,1995,-18.7106,126.7111,.....,WA,248,..,..
002018,02,MABEL DOWNS,1922,2004,-17.1792,128.1217,GPS,WA,254,..,..
002019,02,MARGARET RIVER STATION,1913,..,-18.6253,126.8617,GPS,WA,280,..,..
002020,02,MOOLA BULLA,1903,..,-18.1894,127.5011,GPS,WA,430,..,..
002021,02,MOUNT AMHURST,1925,..,-18.3869,126.9892,GPS,WA,300,..,..
002022,02,MOUNT WINIFRED,2000,..,-18.016,126.3033,GPS,WA,180,..,..
002023,02,NICHOLSON,1921,..,-18.031,128.8941,GPS,WA,380,..,..
002024,02,ORD RIVER,1894,1967,-17.4,128.85,.....,WA,..,..,..
002025,02,ROCKHOLE DOWNS,1922,1949,-18.3667,127.5667,.....,WA,..,..,..
002026,02,RUBY PLAINS,1900,..,-18.5959,127.642,GPS,WA,450,..,..
002027,02,SPEEWA STATION,1908,1944,-16.35,128.0333,.....,WA,..,..,..
002028,02,SPRING CREEK,1927,..,-16.818,128.8656,GPS,WA,180,..,..
002029,02,STURT CREEK,1899,..,-19.1625,128.1633,GPS,WA,400,..,..
002030,02,YULMBU,1950,..,-17.2986,126.9158,GPS,WA,450,..,..
002031,02,TEXAS DOWNS,1922,1995,-17.0103,128.4669,.....,WA,250,..,..
002032,02,WARMUN,1897,..,-17.0154,128.2174,GPS,WA,203,205,94213
002033,02,TURNER RIVER,1920,1965,-17.8,128.3,.....,WA,..,..,..
002034,02,ELVIRE,1962,1969,-18.45,127.95,.....,WA,..,..,..
002035,02,GREENVALE,1914,1944,-17.15,127.75,.....,WA,..,..,..
002036,02,OLD MORNINGTON HOMESTEAD,2002,..,-17.3922,126.2306,GPS,WA,280,..,..
002037,02,VIOLET VALLEY,1912,1941,-17.3,128,.....,WA,..,..,..
002038,02,KUNUNURRA,1962,1991,-15.7828,128.7353,.....,WA,47,..,..
002039,02,DIMOND GORGE,1963,1989,-17.6667,126.0333,.....,WA,..,..,..
002040,02,SAUNDERS CREEK,1964,1974,-18.0333,127.9833,.....,WA,..,..,..
002041,02,ORD RIVER REGENERATION STATION,1962,1997,-17.385,128.9231,GPS,WA,170,..,..
002042,02,GLENROY,1932,1993,-17.3594,126.1086,.....,WA,240,..,..
002043,02,MOUNT KRAUSS,1999,..,-18.3368,126.1243,GPS,WA,160,..,..
002044,02,LAKE ARGYLE RESORT,1969,..,-16.1119,128.7414,GPS,WA,163,..,..
002045,02,FOAL CREEK,1970,1970,-17.3167,127.7,.....,WA,..,..,..
002046,02,ADA VALE,1920,1925,-16.95,128.1,.....,WA,..,..,..
002047,02,BEDFORD DOWNS,1970,..,-17.2631,127.4617,GPS,WA,530,..,..
002048,02,FLORA VALLEY,1970,..,-18.2972,128.4419,GPS,WA,380,..,..
002049,02,SOPHIE DOWNS,1980,..,-18.1947,127.8147,GPS,WA,400,..,..
002050,02,SPRINGVALE,1991,..,-17.7842,127.6853,GPS,WA,420,..,..
